[11/Jul/2021:09:50:17 +0000] - 301 301 - GET http torrent.bapuhome.net "/" [Client 192.168.88.20] [Length 31] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://192.168.88.4:81/"
[11/Jul/2021:09:50:17 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/" [Client 192.168.88.20] [Length 4640] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://192.168.88.4:81/"
[11/Jul/2021:09:50:18 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/jquery/jquery-migrate.min.js" [Client 192.168.88.20] [Length 3063] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:18 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/common.css" [Client 192.168.88.20] [Length 5578] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:18 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/jquery/jquery.min.js" [Client 192.168.88.20] [Length 33262] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:18 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/jquery/jquery.ui-contextmenu.min.js" [Client 192.168.88.20] [Length 2543] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:18 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/jqueryui/jquery-ui.min.css" [Client 192.168.88.20] [Length 7323] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/jquery/jquery-ui.min.js" [Client 192.168.88.20] [Length 64296] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/jquery/jquery.transmenu.min.js" [Client 192.168.88.20] [Length 745] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/jquery/json2.min.js" [Client 192.168.88.20] [Length 1285] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/polyfill.js" [Client 192.168.88.20] [Length 1228] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/common.js" [Client 192.168.88.20] [Length 2952] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/inspector.js" [Client 192.168.88.20] [Length 5986] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/remote.js" [Client 192.168.88.20] [Length 2097] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/prefs-dialog.js" [Client 192.168.88.20] [Length 2371] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/file-row.js" [Client 192.168.88.20] [Length 1551] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/torrent-row.js" [Client 192.168.88.20] [Length 2896] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/torrent.js" [Client 192.168.88.20] [Length 3485] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/transmission.js" [Client 192.168.88.20] [Length 12394] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/formatter.js" [Client 192.168.88.20] [Length 2092] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/dialog.js" [Client 192.168.88.20] [Length 902] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/main.js" [Client 192.168.88.20] [Length 765] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/javascript/notifications.js" [Client 192.168.88.20] [Length 486] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
