[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/" [Client 192.168.88.20] [Length 4724] [Gzip 3.58] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "-"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/vendor/SourceSansPro/SourceSansPro.css?v=1619032969" [Client 192.168.88.20] [Length 602] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/vendor/bootstrap/css/bootstrap.min.css?v=1619032969" [Client 192.168.88.20] [Length 19736] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/vendor/datatables.min.css?v=1619032969" [Client 192.168.88.20] [Length 1121] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/vendor/AdminLTE.min.css?v=1619032969" [Client 192.168.88.20] [Length 16880] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/vendor/daterangepicker.min.css?v=1619032969" [Client 192.168.88.20] [Length 1490] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/pi-hole.css?v=1619032969" [Client 192.168.88.20] [Length 2175] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/vendor/select2.min.css?v=1619032969" [Client 192.168.88.20] [Length 1996] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/themes/default-dark.css?v=1619032969" [Client 192.168.88.20] [Length 2720] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/scripts/vendor/jquery.min.js?v=1619032969" [Client 192.168.88.20] [Length 30950] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
[18/Jul/2021:21:29:11 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/style/vendor/bootstrap/js/bootstrap.min.js?v=1619032969" [Client 192.168.88.20] [Length 10940] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/"
