[14/Jul/2021:12:11:27 +0000] - 200 200 - GET http nui.bapuhome.net "/" [Client 192.168.88.20] [Length 1257] [Gzip 3.44] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "-"
[14/Jul/2021:12:11:27 +0000] - 200 200 - GET http nui.bapuhome.net "/static/custom.min.js" [Client 192.168.88.20] [Length 1949] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:11:27 +0000] - 304 304 - GET http nui.bapuhome.net "/static/custom.css" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:11:27 +0000] - 200 200 - GET http nui.bapuhome.net "/static/semantic.min.js" [Client 192.168.88.20] [Length 275730] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:11:27 +0000] - 200 200 - GET http nui.bapuhome.net "/static/semantic.min.css" [Client 192.168.88.20] [Length 628512] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:11:27 +0000] - 200 200 - GET http nui.bapuhome.net "/static/nginx.png" [Client 192.168.88.20] [Length 13357] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:11:27 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:11:27 +0000] - 200 200 - GET http nui.bapuhome.net "/static/themes/default/assets/fonts/outline-icons.woff2" [Client 192.168.88.20] [Length 12240] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/static/semantic.min.css"
[14/Jul/2021:12:11:27 +0000] - 200 200 - GET http nui.bapuhome.net "/static/themes/default/assets/fonts/icons.woff2" [Client 192.168.88.20] [Length 40148] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/static/semantic.min.css"
[14/Jul/2021:12:11:29 +0000] - 200 200 - GET http nui.bapuhome.net "/" [Client 192.168.88.20] [Length 1257] [Gzip 3.44] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:11:30 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:11:34 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domain/bapuhome.net" [Client 192.168.88.20] [Length 685] [Gzip 2.72] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:11:37 +0000] - 200 200 - GET http nui.bapuhome.net "/" [Client 192.168.88.20] [Length 1257] [Gzip 3.44] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:11:37 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:27:36 +0000] - 200 200 - GET http nui.bapuhome.net "/" [Client 192.168.88.20] [Length 1257] [Gzip 3.44] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:27:36 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:27:40 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:27:41 +0000] - 200 200 - GET http nui.bapuhome.net "/api/domains" [Client 192.168.88.20] [Length 576] [Gzip 7.91] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
[14/Jul/2021:12:27:42 +0000] - 200 200 - GET http nui.bapuhome.net "/" [Client 192.168.88.20] [Length 1257] [Gzip 3.44] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://nui.bapuhome.net/"
