[14/Jul/2021:12:11:21 +0000] - 200 200 - POST http bapuhome.net "/wp-cron.php?doing_wp_cron=1626264681.6509790420532226562500" [Client 192.168.88.4] [Length 31] [Gzip 0.00] [Sent-to 192.168.88.4] "WordPress/5.7.2; http://bapuhome.net" "http://bapuhome.net/wp-cron.php?doing_wp_cron=1626264681.6509790420532226562500"
[14/Jul/2021:12:11:21 +0000] - 200 200 - GET http bapuhome.net "/" [Client 192.168.88.20] [Length 21412] [Gzip 2.58] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "-"
[14/Jul/2021:12:11:22 +0000] - 304 304 - GET http bapuhome.net "/wp-content/themes/twentyseventeen/style.css?ver=20201208" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://bapuhome.net/"
[14/Jul/2021:12:11:22 +0000] - 304 304 - GET http bapuhome.net "/wp-content/themes/twentyseventeen/assets/css/blocks.css?ver=20190105" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://bapuhome.net/"
[14/Jul/2021:12:11:22 +0000] - 304 304 - GET http bapuhome.net "/wp-content/themes/twentyseventeen/assets/js/skip-link-focus-fix.js?ver=20161114" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://bapuhome.net/"
[14/Jul/2021:12:11:22 +0000] - 304 304 - GET http bapuhome.net "/wp-content/themes/twentyseventeen/assets/js/jquery.scrollTo.js?ver=2.1.2" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://bapuhome.net/"
[14/Jul/2021:12:11:22 +0000] - 304 304 - GET http bapuhome.net "/wp-content/themes/twentyseventeen/assets/images/header.jpg" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://bapuhome.net/"
[14/Jul/2021:12:11:22 +0000] - 304 304 - GET http bapuhome.net "/wp-content/themes/twentyseventeen/assets/js/global.js?ver=20190121" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://bapuhome.net/"
[15/Jul/2021:02:59:30 +0000] - 200 200 - POST http bapuhome.net "/wp-cron.php?doing_wp_cron=1626317970.3329639434814453125000" [Client 192.168.88.4] [Length 31] [Gzip 0.00] [Sent-to 192.168.88.4] "WordPress/5.7.2; http://bapuhome.net" "http://bapuhome.net/wp-cron.php?doing_wp_cron=1626317970.3329639434814453125000"
[15/Jul/2021:02:59:30 +0000] - 200 200 - GET http bapuhome.net "/" [Client 192.168.88.20] [Length 21412] [Gzip 2.58] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "-"
[15/Jul/2021:02:59:30 +0000] - 200 200 - GET http bapuhome.net "/wp-content/themes/twentyseventeen/style.css?ver=20201208" [Client 192.168.88.20] [Length 84001] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://bapuhome.net/"
[15/Jul/2021:02:59:30 +0000] - 200 200 - GET http bapuhome.net "/wp-includes/css/dist/block-library/style.min.css?ver=5.7.2" [Client 192.168.88.20] [Length 58171] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://bapuhome.net/"
