[15/Jul/2021:03:05:24 +0000] - 200 200 - GET http dockui.bapuhome.net "/" [Client 192.168.88.20] [Length 3964] [Gzip 5.87] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "-"
[15/Jul/2021:03:05:24 +0000] - 200 200 - GET http dockui.bapuhome.net "/main.c6c6209333f2cca389f5.css" [Client 192.168.88.20] [Length 119149] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:24 +0000] - 200 200 - GET http dockui.bapuhome.net "/vendor.1.css" [Client 192.168.88.20] [Length 339906] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:25 +0000] - 200 200 - GET http dockui.bapuhome.net "/vendor.c6c6209333f2cca389f5.js" [Client 192.168.88.20] [Length 1947557] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:25 +0000] - 200 200 - GET http dockui.bapuhome.net "/main.c6c6209333f2cca389f5.js" [Client 192.168.88.20] [Length 2816544] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:26 +0000] - 200 200 - GET http dockui.bapuhome.net "/412a43d6840addd683665ec12c30f810.woff2" [Client 192.168.88.20] [Length 80328] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/vendor.1.css"
[15/Jul/2021:03:05:29 +0000] - 200 200 - GET http dockui.bapuhome.net "/api/settings/public" [Client 192.168.88.20] [Length 136] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:29 +0000] - 200 200 - GET http dockui.bapuhome.net "/api/status" [Client 192.168.88.20] [Length 20] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:29 +0000] - 200 200 - GET http dockui.bapuhome.net "/api/settings/public" [Client 192.168.88.20] [Length 136] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:29 +0000] - 204 204 - GET http dockui.bapuhome.net "/api/users/admin/check" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:31 +0000] - 200 200 - POST http dockui.bapuhome.net "/api/auth" [Client 192.168.88.20] [Length 163] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:31 +0000] - 200 200 - GET http dockui.bapuhome.net "/api/endpoints?limit=1&start=0" [Client 192.168.88.20] [Length 1413] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:32 +0000] - 200 200 - GET http dockui.bapuhome.net "/api/endpoints?limit=100&start=0" [Client 192.168.88.20] [Length 2841] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:32 +0000] - 200 200 - GET http dockui.bapuhome.net "/api/endpoint_groups" [Client 192.168.88.20] [Length 198] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:32 +0000] - 200 200 - GET http dockui.bapuhome.net "/api/tags" [Client 192.168.88.20] [Length 3] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:32 +0000] - 200 200 - GET http dockui.bapuhome.net "/api/status/version" [Client 192.168.88.20] [Length 45] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:32 +0000] - 200 200 - GET http dockui.bapuhome.net "/91a23e8bf2b4b84c39311cb5eb23aaa0.woff2" [Client 192.168.88.20] [Length 77444] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/vendor.1.css"
[15/Jul/2021:03:05:33 +0000] - 200 200 - GET http dockui.bapuhome.net "/api/motd" [Client 192.168.88.20] [Length 196740] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
[15/Jul/2021:03:05:36 +0000] - 200 200 - GET http dockui.bapuhome.net "/api/endpoints/1" [Client 192.168.88.20] [Length 1411] [Gzip -] [Sent-to 192.168.88.4] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://dockui.bapuhome.net/"
