[18/Jul/2021:16:53:13 +0000] - 302 302 - GET http emby.bapuhome.net "/" [Client 192.168.88.20] [Length 5] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "-"
[18/Jul/2021:16:53:13 +0000] - 200 200 - GET http emby.bapuhome.net "/web/index.html" [Client 192.168.88.20] [Length 1192] [Gzip 2.75] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "-"
[18/Jul/2021:16:53:13 +0000] - 200 200 - GET http emby.bapuhome.net "/web/apploader.js?v=4.6.4.0" [Client 192.168.88.20] [Length 1062] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[18/Jul/2021:16:53:13 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/fonts/material-icons/LDItaoyNOAY6Uewc665JcIzCKsKc_M9flwmP_1.woff2" [Client 192.168.88.20] [Length 107316] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[18/Jul/2021:16:53:14 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/themes/logowhite.png" [Client 192.168.88.20] [Length 10300] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[18/Jul/2021:16:53:14 +0000] - 200 200 - GET http emby.bapuhome.net "/web/bower_components/alameda/alameda.js?v=4.6.4.0" [Client 192.168.88.20] [Length 12231] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[18/Jul/2021:16:53:14 +0000] - 200 200 - GET http emby.bapuhome.net "/web/app.js?v=4.6.4.0" [Client 192.168.88.20] [Length 66496] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[18/Jul/2021:16:53:14 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/browser.js?v=4.6.4.0" [Client 192.168.88.20] [Length 3287] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[18/Jul/2021:16:53:14 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/babelhelpers.js?v=4.6.4.0" [Client 192.168.88.20] [Length 5683] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[18/Jul/2021:16:53:14 +0000] - 200 200 - GET http emby.bapuhome.net "/web/modules/apphost.js?v=4.6.4.0" [Client 192.168.88.20] [Length 13904] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
[18/Jul/2021:16:53:14 +0000] - 200 200 - GET http emby.bapuhome.net "/web/bower_components/emby-apiclient/connectionmanager.js?v=4.6.4.0" [Client 192.168.88.20] [Length 31811] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://emby.bapuhome.net/web/index.html"
